Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",509988,100.0,100.0
All By changed lines,Google,1,"",289334,56.733,56.733
By changed lines,Google,1,pkg,127590,44.098,25.018
By changed lines,Google,1,third_party/golang/go,45116,15.593,8.846
By changed lines,Google,1,pkg/client,30190,10.434,5.92
By changed lines,Google,1,docs,27359,9.456,5.365
By changed lines,Google,1,test,23725,8.2,4.652
By changed lines,Google,1,pkg/kubelet,21989,7.6,4.312
By changed lines,Google,1,pkg/apis,18720,6.47,3.671
By changed lines,Google,1,test/e2e,17638,6.096,3.459
By changed lines,Google,1,api/swagger-spec,16582,5.731,3.251
By changed lines,Google,1,pkg/client/typed,15968,5.519,3.131
By changed lines,Google,1,pkg/client/typed/generated,15206,5.256,2.982
By changed lines,Google,1,hack,13617,4.706,2.67
By changed lines,Google,1,third_party/golang/go/printer,13469,4.655,2.641
By changed lines,Google,1,cmd,12071,4.172,2.367
By changed lines,Google,1,pkg/controller,10648,3.68,2.088
By changed lines,Google,1,cluster,10646,3.679,2.088
By changed lines,Google,1,third_party/golang/go/types,10483,3.623,2.056
By changed lines,Google,1,third_party/golang/go/printer/testdata,9834,3.399,1.928
By changed lines,Google,1,hack/jenkins,9418,3.255,1.847
By changed lines,Google,1,pkg/api,9305,3.216,1.825
By changed lines,Google,1,docs/user-guide,9087,3.141,1.782
By changed lines,Google,1,pkg/client/unversioned,8907,3.078,1.747
All By changed lines,Red Hat,2,"",141375,27.721,27.721
By changed lines,Red Hat,2,pkg,73410,51.926,14.394
By changed lines,Red Hat,2,docs,31159,22.04,6.11
By changed lines,Red Hat,2,docs/user-guide,14273,10.096,2.799
By changed lines,Red Hat,2,contrib,12342,8.73,2.42
By changed lines,Red Hat,2,pkg/api,11394,8.059,2.234
By changed lines,Red Hat,2,contrib/mesos,11012,7.789,2.159
By changed lines,Red Hat,2,contrib/mesos/pkg,10737,7.595,2.105
By changed lines,Red Hat,2,pkg/kubectl,8822,6.24,1.73
By changed lines,Red Hat,2,contrib/mesos/pkg/scheduler,8556,6.052,1.678
By changed lines,Red Hat,2,docs/getting-started-guides,8017,5.671,1.572
By changed lines,Red Hat,2,pkg/apis,7557,5.345,1.482
By changed lines,Red Hat,2,test,6962,4.924,1.365
By changed lines,Red Hat,2,pkg/apis/extensions,5746,4.064,1.127
By changed lines,Red Hat,2,api/swagger-spec,5630,3.982,1.104
By changed lines,Red Hat,2,pkg/controller,5551,3.926,1.088
By changed lines,Red Hat,2,test/e2e,5244,3.709,1.028
By changed lines,Red Hat,2,pkg/volume,5064,3.582,0.993
By changed lines,Red Hat,2,pkg/client,4857,3.436,0.952
By changed lines,Red Hat,2,pkg/runtime,4519,3.196,0.886
By changed lines,Red Hat,2,cmd,4312,3.05,0.846
By changed lines,Red Hat,2,api/swagger-spec/v1beta1.json,4115,2.911,0.807
By changed lines,Red Hat,2,pkg/registry,4011,2.837,0.786
By changed lines,Red Hat,2,pkg/apiserver,4010,2.836,0.786
