Date,Google,Red Hat,(Self),CoreOS,Microsoft,ZTE Corporation,Mirantis,Fujitsu,IBM,Engine Yard,Others
2016-01,574,162,45,52,7,0,1,33,3,16,392
2016-02,953,238,72,41,53,0,2,54,13,29,387
2016-03,1002,238,51,54,117,0,1,57,19,74,529
2016-04,601,219,27,88,65,2,9,23,33,53,353
2016-05,978,289,128,98,46,15,27,33,22,44,492
2016-06,1140,204,260,83,63,22,41,63,12,55,265
2016-07,730,230,163,50,56,93,74,23,19,20,321
2016-08,1366,341,181,86,88,56,79,22,22,22,397
2016-09,1058,614,183,158,68,61,88,32,23,18,335
2016-10,1056,579,159,60,96,17,79,20,38,58,521
2016-11,1318,442,101,79,71,40,66,40,14,28,565
2016-12,964,482,266,85,101,62,81,21,51,42,632
2017-01,975,728,278,61,66,62,72,9,64,16,698
2017-02,991,706,222,81,75,132,77,35,77,33,896
2017-03,1012,592,181,168,47,184,73,75,64,33,844
2017-04,845,337,146,63,65,112,50,42,62,28,697
2017-05,1250,533,119,79,122,80,17,60,60,8,735
2017-06,1016,341,127,89,64,24,5,54,46,3,631
