rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,k82cn,159,51.79153,159,51.79153,307
2,asifdxtreme,34,11.07492,193,62.86645,307
3,thandayuthapani,26,8.46906,219,71.33550,307
4,SrinivasChilveri,22,7.16612,241,78.50163,307
5,Rajadeepan,19,6.18893,260,84.69055,307
6,TommyLike,10,3.25733,270,87.94788,307
7,jiangkaihua,7,2.28013,277,90.22801,307
8,hzxuzhonghu,6,1.95440,283,92.18241,307
9,kevin-wangzefeng,6,1.95440,289,94.13681,307
10,xiaogaozi,4,1.30293,293,95.43974,307
11,yuanchen8911,3,0.97720,296,96.41694,307
12,fossabot,2,0.65147,298,97.06840,307
13,nikita15p,2,0.65147,300,97.71987,307
14,davidstack,1,0.32573,301,98.04560,307
15,gaocegege,1,0.32573,302,98.37134,307
16,jinzhejz,1,0.32573,303,98.69707,307
17,mitake,1,0.32573,304,99.02280,307
18,raoofm,1,0.32573,305,99.34853,307
19,soolaugust,1,0.32573,306,99.67427,307
20,tizhou86,1,0.32573,307,100.00000,307
