repo,rank_number,actor,company,commits,percent,all_commits
acornjs/acorn,1,marijnh,Independent,178,0.04718,377259
acornjs/acorn,2,adrianheine,Wikimedia,41,0.01087,377259
acornjs/acorn,3,TimothyGu,UCLA ACM,17,0.00451,377259
ahmadnassri/node-har-validator,1,ahmadnassri,Node.js,7,0.00186,377259
angular/angular,1,mhevery,Google,7861,2.08371,377259
angular/angular,2,alexeagle,Google,6497,1.72216,377259
angular/angular,3,IgorMinar,Google,3148,0.83444,377259
angular/angular.js,1,Narretz,Independent,1628,0.43153,377259
angular/angular.js,2,matsko,Google,1461,0.38727,377259
angular/angular.js,3,petebacondarwin,Independent,1419,0.37613,377259
angular/animations-builds,1,IgorMinar,Google,1216,0.32232,377259
angular/animations-builds,2,AndrewKushnir,Google,1157,0.30669,377259
angular/animations-builds,3,mhevery,Google,673,0.17839,377259
angular/cdk-builds,1,crisbeto,Momondo,1282,0.33982,377259
angular/cdk-builds,2,devversion,(Unknown),643,0.17044,377259
angular/cdk-builds,3,mmalerba,Google,218,0.05779,377259
angular/common-builds,1,mhevery,Google,2471,0.65499,377259
angular/common-builds,2,IgorMinar,Google,1400,0.37110,377259
angular/common-builds,3,AndrewKushnir,Google,1156,0.30642,377259
angular/core-builds,1,mhevery,Google,2465,0.65340,377259
angular/core-builds,2,IgorMinar,Google,1400,0.37110,377259
angular/core-builds,3,AndrewKushnir,Google,1154,0.30589,377259
angular/forms-builds,1,mhevery,Google,2283,0.60515,377259
angular/forms-builds,2,IgorMinar,Google,1386,0.36739,377259
angular/forms-builds,3,AndrewKushnir,Google,1156,0.30642,377259
angular/http-builds,1,mhevery,Google,1635,0.43339,377259
angular/http-builds,2,IgorMinar,Google,1163,0.30828,377259
angular/http-builds,3,vicb,Google,772,0.20463,377259
angular/platform-browser-builds,1,mhevery,Google,2441,0.64704,377259
angular/platform-browser-builds,2,IgorMinar,Google,1391,0.36871,377259
angular/platform-browser-builds,3,AndrewKushnir,Google,1153,0.30563,377259
angular/platform-browser-dynamic-builds,1,mhevery,Google,2416,0.64041,377259
angular/platform-browser-dynamic-builds,2,IgorMinar,Google,1268,0.33611,377259
angular/platform-browser-dynamic-builds,3,AndrewKushnir,Google,1152,0.30536,377259
angular/platform-server-builds,1,mhevery,Google,2440,0.64677,377259
angular/platform-server-builds,2,IgorMinar,Google,1273,0.33743,377259
angular/platform-server-builds,3,AndrewKushnir,Google,1154,0.30589,377259
angular-translate/angular-translate,1,knalli,Independent,459,0.12167,377259
angular-translate/angular-translate,2,tspaeth,(Unknown),21,0.00557,377259
angular-translate/angular-translate,3,gonzalo-roberto-diaz,(Unknown),9,0.00239,377259
angular-ui/ui-router,1,christopherthielen,Netflix,1395,0.36977,377259
angular-ui/ui-router,2,nateabele,Radify,177,0.04692,377259
angular-ui/ui-router,3,wesleycho,Mindflash,67,0.01776,377259
angular/zone.js,1,mhevery,Google,501,0.13280,377259
angular/zone.js,2,JiaLiPassion,Ritatu,181,0.04798,377259
angular/zone.js,3,vicb,Google,78,0.02068,377259
apache/commons-codec,1,garydgregory,Apache,149,0.03950,377259
apache/commons-codec,2,sebbASF,Apache,146,0.03870,377259
apache/commons-codec,3,chtompki,Capital One,22,0.00583,377259
apache/commons-collections,1,garydgregory,Apache,184,0.04877,377259
apache/commons-collections,2,netomi,Guardsquare,96,0.02545,377259
apache/commons-collections,3,netomi,Airtopsoft SA,94,0.02492,377259
apache/commons-io,1,garydgregory,Apache,134,0.03552,377259
apache/commons-io,2,PascalSchumacher,Apache,82,0.02174,377259
apache/commons-io,3,krosenvold,Apache,80,0.02121,377259
apache/commons-lang,1,PascalSchumacher,Apache,372,0.09861,377259
apache/commons-lang,2,britter,codecentric AG,368,0.09755,377259
apache/commons-lang,3,garydgregory,Apache,239,0.06335,377259
apache/commons-logging,1,garydgregory,Apache,10,0.00265,377259
apache/commons-logging,2,PascalSchumacher,Apache,3,0.00080,377259
apache/commons-logging,3,britter,codecentric AG,2,0.00053,377259
apache/httpcomponents-client,1,ok2c,OK2,420,0.11133,377259
apache/httpcomponents-client,2,garydgregory,Apache,20,0.00530,377259
apache/httpcomponents-client,3,michael-o,Apache,15,0.00398,377259
apache/log4j,1,garydgregory,Apache,1,0.00027,377259
ashtuchkin/iconv-lite,1,ashtuchkin,Dropbox,87,0.02306,377259
ashtuchkin/iconv-lite,2,ashtuchkin,Blended Labs,12,0.00318,377259
ashtuchkin/iconv-lite,3,larssn,(Unknown),4,0.00106,377259
auth0/angular2-jwt,1,chenkie,Auth0,250,0.06627,377259
auth0/angular2-jwt,2,chenkie,Angularcasts,85,0.02253,377259
auth0/angular2-jwt,3,stevehobbsdev,(Unknown),31,0.00822,377259
auth0/node-jsonwebtoken,1,jfromaniello,Auth0,217,0.05752,377259
auth0/node-jsonwebtoken,2,ziluvatar,SUSE,103,0.02730,377259
auth0/node-jsonwebtoken,3,MitMaro,Bluedrop,19,0.00504,377259
axios/axios,1,emilyemorehouse,Cuttlesoft,73,0.01935,377259
axios/axios,2,Khaledgarbaya,Contentful,63,0.01670,377259
axios/axios,3,nickuraltsev,ThinAir,45,0.01193,377259
beanvalidation/beanvalidation-api,1,gunnarmorling,Red Hat,111,0.02942,377259
beanvalidation/beanvalidation-api,2,gsmet,Red Hat,103,0.02730,377259
beanvalidation/beanvalidation-api,3,emmanuelbernard,(Unknown),4,0.00106,377259
beatgammit/base64-js,1,feross,Standard JS,73,0.01935,377259
beatgammit/base64-js,2,feross,BitMidi,28,0.00742,377259
beatgammit/base64-js,3,beatgammit,(Unknown),8,0.00212,377259
BendingBender/object-assign-shim,1,BendingBender,(Unknown),1,0.00027,377259
bestiejs/punycode.js,1,mathiasbynens,Qiwi,29,0.00769,377259
bestiejs/punycode.js,2,garycourt,(Unknown),2,0.00053,377259
bestiejs/punycode.js,3,abetomo,(Unknown),1,0.00027,377259
brix/crypto-js,1,evanvosberg,(Unknown),65,0.01723,377259
brix/crypto-js,2,pkaminski,(Unknown),4,0.00106,377259
brix/crypto-js,3,szepeviktor,(Unknown),4,0.00106,377259
broofa/node-mime,1,broofa,Tend.ai,162,0.04294,377259
broofa/node-mime,2,broofa,Independent,20,0.00530,377259
broofa/node-mime,3,billymoon,(Unknown),1,0.00027,377259
broofa/node-uuid,1,broofa,Tend.ai,14,0.00371,377259
broofa/node-uuid,2,defunctzombie,Cruise,1,0.00027,377259
broofa/node-uuid,3,nathanhammond,(Unknown),1,0.00027,377259
browserify/browserify,1,goto-bus-stop,(Unknown),114,0.03022,377259
browserify/browserify,2,zertosh,Facebook,15,0.00398,377259
browserify/browserify,3,bcomnes,(Unknown),8,0.00212,377259
browserify/resolve,1,ljharb,Airbnb,116,0.03075,377259
browserify/resolve,2,ljharb,Ecma,30,0.00795,377259
browserify/resolve,3,arcanis,(Unknown),3,0.00080,377259
calvinmetcalf/process-nextick-args,1,calvinmetcalf,AppGeo,27,0.00716,377259
calvinmetcalf/process-nextick-args,2,mcollina,Independent,2,0.00053,377259
calvinmetcalf/process-nextick-args,3,arthurschreiber,Microsoft,1,0.00027,377259
caolan/async,1,aearly,Independent,406,0.10762,377259
caolan/async,2,aearly,npm,344,0.09118,377259
caolan/async,3,megawac,Clearpath,307,0.08138,377259
chalk/ansi-regex,1,sindresorhus,Independent,24,0.00636,377259
chalk/ansi-regex,2,Qix-,ZEIT,7,0.00186,377259
chalk/ansi-regex,3,Qix-,Uber,3,0.00080,377259
chalk/ansi-styles,1,sindresorhus,Independent,44,0.01166,377259
chalk/ansi-styles,2,Qix-,dotdotdash,15,0.00398,377259
chalk/ansi-styles,3,Qix-,On Demand Solutions,13,0.00345,377259
chalk/chalk,1,sindresorhus,Independent,146,0.03870,377259
chalk/chalk,2,Qix-,ZEIT,56,0.01484,377259
chalk/chalk,3,Qix-,Uber,21,0.00557,377259
chalk/strip-ansi,1,sindresorhus,Independent,18,0.00477,377259
chalk/strip-ansi,2,jbnicolai,Xebia,2,0.00053,377259
chalk/strip-ansi,3,LitoMore,(Unknown),2,0.00053,377259
chalk/supports-color,1,sindresorhus,Independent,82,0.02174,377259
chalk/supports-color,2,Qix-,Uber,18,0.00477,377259
chalk/supports-color,3,Qix-,ZEIT,7,0.00186,377259
DataTables/DataTables,1,DataTables,SpryMedia,461,0.12220,377259
DataTables/DataTables,2,8398a7,(Unknown),1,0.00027,377259
DataTables/DataTables,3,frederikbosch,(Unknown),1,0.00027,377259
davepacheco/node-extsprintf,1,davepacheco,Joyent,2,0.00053,377259
davepacheco/node-verror,1,davepacheco,Joyent,11,0.00292,377259
davepacheco/node-verror,2,samertm,(Unknown),1,0.00027,377259
devongovett/browserify-istanbul,1,devongovett,Storify,18,0.00477,377259
devongovett/browserify-istanbul,2,alexindigo,(Unknown),13,0.00345,377259
devongovett/browserify-istanbul,3,devongovett,Livefyre,5,0.00133,377259
dotnet/corefx,1,stephentoub,Microsoft,15791,4.18572,377259
dotnet/corefx,2,weshaggard,Microsoft,1791,0.47474,377259
dotnet/corefx,3,safern,Microsoft,1730,0.45857,377259
dougwilson/nodejs-depd,1,dougwilson,Salesforce,148,0.03923,377259
dougwilson/nodejs-depd,2,adrianheine,Wikimedia,1,0.00027,377259
eclipse-ee4j/jaxrs-api,1,mkarg,(Unknown),128,0.03393,377259
eclipse-ee4j/jaxrs-api,2,chkal,Ingenit KG,39,0.01034,377259
eclipse-ee4j/jaxrs-api,3,spericas,Oracle,23,0.00610,377259
eclipse-ee4j/servlet-api,1,arjantijms,(Unknown),28,0.00742,377259
eclipse-ee4j/servlet-api,2,markt-asf,Apache,25,0.00663,377259
eclipse-ee4j/servlet-api,3,stuartwdouglas,Red Hat,21,0.00557,377259
epoberezkin/ajv,1,epoberezkin,MailOnline,1490,0.39495,377259
epoberezkin/ajv,2,epoberezkin,Threads Styling,235,0.06229,377259
epoberezkin/ajv,3,blakeembrey,MuleSoft,10,0.00265,377259
expressjs/body-parser,1,dougwilson,Salesforce,366,0.09702,377259
expressjs/body-parser,2,dougwilson,Independent,11,0.00292,377259
expressjs/body-parser,3,govindrai,(Unknown),3,0.00080,377259
expressjs/compression,1,dougwilson,Salesforce,253,0.06706,377259
expressjs/compression,2,LucianBuzzo,(Unknown),2,0.00053,377259
expressjs/compression,3,beeman,(Unknown),1,0.00027,377259
expressjs/cookie-parser,1,dougwilson,Salesforce,139,0.03684,377259
expressjs/cookie-parser,2,kevinsimper,Connected Cars,2,0.00053,377259
expressjs/cookie-parser,3,freeall,(Unknown),1,0.00027,377259
expressjs/cors,1,dougwilson,Salesforce,112,0.02969,377259
expressjs/cors,2,troygoode,Winmore,30,0.00795,377259
expressjs/cors,3,LinusU,(Unknown),5,0.00133,377259
expressjs/express,1,dougwilson,Salesforce,542,0.14367,377259
expressjs/express,2,crandmck,(Unknown),9,0.00239,377259
expressjs/express,3,notrab,Apple,9,0.00239,377259
expressjs/morgan,1,dougwilson,Salesforce,207,0.05487,377259
expressjs/morgan,2,beeman,(Unknown),2,0.00053,377259
expressjs/morgan,3,CatTail,adRise,2,0.00053,377259
expressjs/serve-favicon,1,dougwilson,Salesforce,145,0.03844,377259
expressjs/serve-favicon,2,crispen-smith,(Unknown),1,0.00027,377259
expressjs/serve-favicon,3,dougwilson,Independent,1,0.00027,377259
expressjs/session,1,dougwilson,Salesforce,419,0.11106,377259
expressjs/session,2,dougwilson,Independent,13,0.00345,377259
expressjs/session,3,gabeio,(Unknown),5,0.00133,377259
facebook/prop-types,1,ljharb,Airbnb,35,0.00928,377259
facebook/prop-types,2,gaearon,Independent,26,0.00689,377259
facebook/prop-types,3,aweary,Facebook,14,0.00371,377259
facebook/react,1,gaearon,Independent,2642,0.70031,377259
facebook/react,2,zpao,Facebook,2395,0.63484,377259
facebook/react,3,spicyj,Facebook,1150,0.30483,377259
FasterXML/jackson-annotations,1,cowtowncoder,FasterXML,312,0.08270,377259
FasterXML/jackson-annotations,2,cowtowncoder,Indeed,121,0.03207,377259
FasterXML/jackson-annotations,3,johnjohndoe,(Unknown),2,0.00053,377259
FasterXML/jackson-core,1,cowtowncoder,FasterXML,917,0.24307,377259
FasterXML/jackson-core,2,cowtowncoder,Indeed,430,0.11398,377259
