repo,rank_number,actor,company,commits,percent,all_commits
BendingBender/object-assign-shim,1,BendingBender,(Unknown),1,0.00026,385483
bestiejs/punycode.js,1,mathiasbynens,(Unknown),30,0.00778,385483
bestiejs/punycode.js,2,garycourt,(Unknown),2,0.00052,385483
bestiejs/punycode.js,3,abetomo,(Unknown),1,0.00026,385483
brix/crypto-js,1,evanvosberg,(Unknown),65,0.01686,385483
brix/crypto-js,2,pkaminski,(Unknown),4,0.00104,385483
brix/crypto-js,3,szepeviktor,(Unknown),4,0.00104,385483
broofa/node-mime,1,broofa,Tend.ai,162,0.04203,385483
broofa/node-mime,2,broofa,Independent,20,0.00519,385483
broofa/node-mime,3,billymoon,(Unknown),1,0.00026,385483
broofa/node-uuid,1,broofa,Tend.ai,16,0.00415,385483
broofa/node-uuid,2,coolaj86,(Unknown),13,0.00337,385483
broofa/node-uuid,3,broofa,Independent,10,0.00259,385483
browserify/browserify,1,goto-bus-stop,(Unknown),112,0.02905,385483
browserify/browserify,2,zertosh,Facebook,15,0.00389,385483
browserify/browserify,3,bcomnes,(Unknown),8,0.00208,385483
browserify/resolve,1,ljharb,Airbnb,116,0.03009,385483
browserify/resolve,2,ljharb,Ecma,30,0.00778,385483
browserify/resolve,3,arcanis,(Unknown),3,0.00078,385483
calvinmetcalf/process-nextick-args,1,calvinmetcalf,AppGeo,27,0.00700,385483
calvinmetcalf/process-nextick-args,2,mcollina,Independent,2,0.00052,385483
calvinmetcalf/process-nextick-args,3,arthurschreiber,Microsoft,1,0.00026,385483
caolan/async,1,aearly,Independent,406,0.10532,385483
caolan/async,2,aearly,npm,344,0.08924,385483
caolan/async,3,megawac,Clearpath,307,0.07964,385483
chalk/ansi-regex,1,sindresorhus,Independent,24,0.00623,385483
chalk/ansi-regex,2,Qix-,ZEIT,7,0.00182,385483
chalk/ansi-regex,3,Qix-,Uber,3,0.00078,385483
chalk/ansi-styles,1,sindresorhus,Independent,41,0.01064,385483
chalk/ansi-styles,2,Qix-,dotdotdash,15,0.00389,385483
chalk/ansi-styles,3,Qix-,On Demand Solutions,13,0.00337,385483
chalk/chalk,1,sindresorhus,Independent,143,0.03710,385483
chalk/chalk,2,Qix-,ZEIT,56,0.01453,385483
chalk/chalk,3,Qix-,Uber,21,0.00545,385483
chalk/strip-ansi,1,sindresorhus,Independent,16,0.00415,385483
chalk/strip-ansi,2,jbnicolai,(Unknown),2,0.00052,385483
chalk/strip-ansi,3,LitoMore,(Unknown),2,0.00052,385483
chalk/supports-color,1,sindresorhus,Independent,82,0.02127,385483
chalk/supports-color,2,Qix-,Uber,18,0.00467,385483
chalk/supports-color,3,Qix-,ZEIT,7,0.00182,385483
DataTables/DataTables,1,DataTables,SpryMedia,461,0.11959,385483
DataTables/DataTables,2,8398a7,(Unknown),1,0.00026,385483
DataTables/DataTables,3,davlloyd,(Unknown),1,0.00026,385483
davepacheco/node-extsprintf,1,davepacheco,(Unknown),2,0.00052,385483
