rank_number,actor,events,percent,cumulative_sum,cumulative_percent,all_events
1,matthiashanel,299,1.34916,299,1.34916,22162
2,lparis,43,0.19403,342,1.54318,22162
3,ronag,34,0.15342,376,1.69660,22162
4,sfrooster,34,0.15342,410,1.85001,22162
5,rigtorp,23,0.10378,433,1.95379,22162
6,jasper-d,21,0.09476,454,2.04855,22162
7,stjepang,20,0.09024,474,2.13880,22162
8,juandiegopalomino,18,0.08122,492,2.22002,22162
9,wutkemtt,18,0.08122,510,2.30124,22162
10,peng-w,16,0.07220,526,2.37343,22162
11,tpihl,15,0.06768,541,2.44112,22162
12,jgaskins,14,0.06317,555,2.50429,22162
13,madgrenadier,14,0.06317,569,2.56746,22162
14,unisqu,14,0.06317,583,2.63063,22162
15,biskit,13,0.05866,596,2.68929,22162
16,MartinForReal,13,0.05866,609,2.74795,22162
17,mmanna-sapfgl,13,0.05866,622,2.80661,22162
18,nuss-justin,13,0.05866,635,2.86526,22162
19,s-shin,13,0.05866,648,2.92392,22162
20,film42,12,0.05415,660,2.97807,22162
21,harold-toledo,12,0.05415,672,3.03222,22162
22,pananton,11,0.04963,683,3.08185,22162
23,zhaoyao91,11,0.04963,694,3.13149,22162
24,AaronFriel,9,0.04061,703,3.17210,22162
25,arekkas,9,0.04061,712,3.21271,22162
26,guilherme-santos,9,0.04061,721,3.25332,22162
27,jmptrader,9,0.04061,730,3.29393,22162
28,MaruHyl,9,0.04061,739,3.33454,22162
29,Ryner51,9,0.04061,748,3.37515,22162
30,sujitn,9,0.04061,757,3.41576,22162
31,0taste,8,0.03610,765,3.45185,22162
32,jebbench,8,0.03610,773,3.48795,22162
33,nithinkd-geon,8,0.03610,781,3.52405,22162
34,rafw,8,0.03610,789,3.56015,22162
35,SkinnySackboy,8,0.03610,797,3.59625,22162
36,tegk,8,0.03610,805,3.63234,22162
37,YoninL,8,0.03610,813,3.66844,22162
38,asafyish,7,0.03159,820,3.70003,22162
39,avatarneil,7,0.03159,827,3.73161,22162
40,ayaya118,7,0.03159,834,3.76320,22162
41,basti1302,7,0.03159,841,3.79478,22162
42,bkim54,7,0.03159,848,3.82637,22162
43,CarloWakefield,7,0.03159,855,3.85796,22162
44,DeployChef,7,0.03159,862,3.88954,22162
45,joeblew99,7,0.03159,869,3.92113,22162
46,mackeyja92,7,0.03159,876,3.95271,22162
47,Manuri,7,0.03159,883,3.98430,22162
48,sebastien-curutchet,7,0.03159,890,4.01588,22162
49,shohi,7,0.03159,897,4.04747,22162
50,tamnm,7,0.03159,904,4.07905,22162
51,ThomasVestergaard,7,0.03159,911,4.11064,22162
52,xzzh999,7,0.03159,918,4.14223,22162
53,aforward,6,0.02707,924,4.16930,22162
54,bfoxstudio,6,0.02707,930,4.19637,22162
55,brianshannan,6,0.02707,936,4.22345,22162
56,brianshannan-wf,6,0.02707,942,4.25052,22162
57,CaptainYarb,6,0.02707,948,4.27759,22162
58,cee-dub,6,0.02707,954,4.30467,22162
59,chilly,6,0.02707,960,4.33174,22162
60,edam,6,0.02707,966,4.35881,22162
61,gedw99,6,0.02707,972,4.38589,22162
62,ishbir,6,0.02707,978,4.41296,22162
63,jason-magnetic-io,6,0.02707,984,4.44003,22162
64,jfathman,6,0.02707,990,4.46711,22162
65,kirooha,6,0.02707,996,4.49418,22162
66,leenux,6,0.02707,1002,4.52125,22162
