Version,Google,Red Hat,(Self),CoreOS,Huawei,ZTE Corporation,Mirantis,IBM,Fujitsu,Hyper.sh,Others
v1.1.0,1078,458,75,27,173,0,0,0,0,2,299
v1.2.0,2494,837,176,117,140,0,4,22,8,14,623
v1.3.0,1414,534,71,153,30,15,10,27,14,1,310
v1.4.0,1214,383,68,112,37,137,101,32,1,17,206
v1.5.0,1360,592,75,57,37,71,81,26,15,38,251
v1.6.0,1345,1208,136,76,68,90,39,64,52,56,452
v1.7.0,1011,589,118,23,60,89,21,76,77,32,554
