rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,mhevery,23015,8.34182,23015,8.34182,275899
2,IgorMinar,12729,4.61364,35744,12.95547,275899
3,AndrewKushnir,9600,3.47953,45344,16.43500,275899
4,levitte,9256,3.35485,54600,19.78985,275899
5,stephentoub,8814,3.19465,63414,22.98450,275899
6,vicb,8029,2.91012,71443,25.89462,275899
7,matsko,6946,2.51759,78389,28.41221,275899
8,XhmikosR,6374,2.31027,84763,30.72247,275899
9,alxhub,5371,1.94673,90134,32.66920,275899
10,petebacondarwin,5244,1.90070,95378,34.56990,275899
11,kara,5061,1.83437,100439,36.40426,275899
12,cowtowncoder,4907,1.77855,105346,38.18281,275899
13,alexeagle,4630,1.67815,109976,39.86096,275899
14,dougwilson,4335,1.57123,114311,41.43219,275899
15,jdalton,3758,1.36209,118069,42.79428,275899
16,mdo,3458,1.25336,121527,44.04764,275899
17,jasonaden,3267,1.18413,124794,45.23177,275899
18,chuckjaz,2611,0.94636,127405,46.17813,275899
19,gkalpak,2579,0.93476,129984,47.11289,275899
20,blesh,2576,0.93368,132560,48.04657,275899
21,tbosch,2179,0.78978,134739,48.83635,275899
22,gaearon,2171,0.78688,136910,49.62323,275899
23,zloirock,2046,0.74158,138956,50.36481,275899
24,Johann-S,2037,0.73831,140993,51.10312,275899
25,mattcaswell,2010,0.72853,143003,51.83165,275899
26,vsavkin,1687,0.61146,144690,52.44310,275899
27,richsalz,1626,0.58935,146316,53.03245,275899
28,crisbeto,1560,0.56542,147876,53.59787,275899
29,atscott,1531,0.55491,149407,54.15279,275899
30,benlesh,1466,0.53135,150873,54.68414,275899
31,cvrebert,1466,0.53135,152339,55.21550,275899
32,MartijnCuppens,1412,0.51178,153751,55.72728,275899
33,bgrainger,1351,0.48967,155102,56.21695,275899
34,epoberezkin,1343,0.48677,156445,56.70372,275899
35,danmosemsft,1317,0.47735,157762,57.18107,275899
36,cpovirk,1277,0.46285,159039,57.64392,275899
37,vikerman,1268,0.45959,160307,58.10351,275899
38,pkozlowski-opensource,1244,0.45089,161551,58.55440,275899
39,cgdecker,1241,0.44980,162792,59.00420,275899
40,lrytz,1215,0.44038,164007,59.44458,275899
41,Narretz,1197,0.43385,165204,59.87843,275899
42,safern,1166,0.42262,166370,60.30105,275899
43,LutzJaenicke,1116,0.40450,167486,60.70555,275899
44,hansl,1070,0.38782,168556,61.09337,275899
45,CharliePoole,994,0.36028,169550,61.45365,275899
46,jkotas,988,0.35810,170538,61.81175,275899
47,zpao,963,0.34904,171501,62.16079,275899
48,ViktorHofer,948,0.34360,172449,62.50439,275899
49,adriaanm,926,0.33563,173375,62.84002,275899
50,dot-asm,896,0.32476,174271,63.16478,275899
51,rprouse,896,0.32476,175167,63.48954,275899
52,retronym,891,0.32294,176058,63.81248,275899
53,bcoe,870,0.31533,176928,64.12781,275899
