rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,mattklein123,12229,2.76485,12229,2.76485,442302
2,miekg,3829,0.86570,16058,3.63055,442302
3,scholzj,3664,0.82839,19722,4.45894,442302
4,brian-brazil,3530,0.79810,23252,5.25704,442302
5,fabxc,3461,0.78250,26713,6.03954,442302
6,repeatedly,3120,0.70540,29833,6.74494,442302
7,edsiper,3022,0.68324,32855,7.42818,442302
8,kozlovic,2973,0.67217,35828,8.10035,442302
9,chenopis,2802,0.63350,38630,8.73385,442302
10,justinsb,2780,0.62853,41410,9.36238,442302
11,juliusv,2741,0.61971,44151,9.98209,442302
12,olix0r,2720,0.61496,46871,10.59706,442302
13,gyuho,2598,0.58738,49469,11.18444,442302
14,yurishkuro,2268,0.51277,51737,11.69721,442302
15,jtattermusch,2267,0.51255,54004,12.20976,442302
16,htuch,2121,0.47954,56125,12.68929,442302
17,kmova,2042,0.46168,58167,13.15097,442302
18,beorn7,1999,0.45195,60166,13.60292,442302
19,SuperQ,1991,0.45014,62157,14.05307,442302
20,grobie,1917,0.43341,64074,14.48648,442302
21,siggy,1891,0.42754,65965,14.91402,442302
22,dargasudarshan,1868,0.42234,67833,15.33635,442302
23,xiang90,1868,0.42234,69701,15.75869,442302
24,derekcollison,1852,0.41872,71553,16.17741,442302
25,adleong,1843,0.41668,73396,16.59409,442302
26,ppatierno,1842,0.41646,75238,17.01055,442302
27,sougou,1831,0.41397,77069,17.42452,442302
28,wojtek-t,1781,0.40267,78850,17.82719,442302
29,tombentley,1738,0.39294,80588,18.22013,442302
30,aledbf,1726,0.39023,82314,18.61036,442302
31,BusyJay,1721,0.38910,84035,18.99946,442302
32,mstemm,1656,0.37440,85691,19.37387,442302
33,crosbymichael,1610,0.36400,87301,19.73787,442302
34,ctiller,1595,0.36061,88896,20.09848,442302
35,AndreMouche,1589,0.35926,90485,20.45774,442302
36,zhangjinpeng1987,1527,0.34524,92012,20.80298,442302
37,siddontang,1495,0.33800,93507,21.14099,442302
38,krzyzacy,1475,0.33348,94982,21.47447,442302
39,overvenus,1465,0.33122,96447,21.80569,442302
40,liggitt,1449,0.32760,97896,22.13329,442302
41,ranjithwingrider,1429,0.32308,99325,22.45638,442302
42,murgatroid99,1424,0.32195,100749,22.77833,442302
43,alainjobart,1387,0.31359,102136,23.09191,442302
44,tsandall,1369,0.30952,103505,23.40143,442302
45,junr03,1368,0.30929,104873,23.71072,442302
46,BenTheElder,1333,0.30138,106206,24.01210,442302
47,reasonerjt,1333,0.30138,107539,24.31348,442302
48,mikedanese,1327,0.30002,108866,24.61350,442302
49,aricart,1300,0.29392,110166,24.90742,442302
50,nicolasnoble,1287,0.29098,111453,25.19839,442302
51,thockin,1282,0.28985,112735,25.48824,442302
52,wallyqs,1281,0.28962,114016,25.77786,442302
53,squaremo,1258,0.28442,115274,26.06228,442302
54,ejona86,1242,0.28080,116516,26.34309,442302
55,rmohr,1230,0.27809,117746,26.62118,442302
