Date,1001+,101-1000,51-100,21-50,16-20,11-15,10,9,8,7,6,5,4,3,2,1,0
2018-08-22,6,41,44,119,56,101,28,23,45,62,100,115,193,362,810,2799,33870
2018-08-23,6,41,44,119,56,101,28,23,45,62,100,115,193,362,810,2799,33870
2018-09-03,6,41,44,119,56,101,28,23,45,62,100,115,193,362,810,2799,33870
2018-09-04,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-05,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-06,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-07,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-10,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-11,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33863
2018-09-12,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33856
2018-09-14,6,39,44,118,56,101,28,23,45,62,100,115,193,362,810,2798,33856
2018-09-17,3,9,11,48,28,67,21,19,39,59,98,109,185,360,803,2788,33757
2018-09-18,3,9,11,48,23,61,20,16,29,58,95,108,183,359,799,2786,32610
2018-09-19,3,9,11,48,23,61,20,16,29,58,95,108,183,359,799,2786,32610
2018-09-20,3,11,20,65,34,82,28,27,44,59,115,129,238,408,1084,2896,32522
2018-09-21,3,9,16,57,31,80,26,24,45,54,117,123,230,394,1059,2837,34043
2018-09-24,3,9,16,57,31,80,26,24,45,54,117,123,230,394,1059,2837,34043
2018-09-25,3,6,15,56,26,53,22,19,39,41,102,121,225,391,1056,2825,34012
2018-09-26,3,6,15,56,26,53,22,19,39,41,102,121,225,391,1056,2825,34012
2018-09-27,3,5,10,43,20,49,22,17,39,41,102,121,225,390,1052,2805,34019
2018-09-28,3,5,10,43,20,49,22,17,39,41,102,121,225,390,1052,2805,33990
2018-10-01,3,5,10,43,20,49,22,17,39,41,102,121,225,390,1052,2805,33990
2018-10-02,3,5,10,43,20,49,22,17,39,41,102,121,225,390,1052,2805,33990
2018-10-03,3,5,10,43,20,49,22,17,39,41,102,121,225,390,1052,2805,33990
2018-10-04,3,5,9,41,16,35,8,9,31,27,88,101,220,385,1041,2800,33952
2018-10-05,3,5,9,41,16,35,8,9,31,27,88,101,219,385,1041,2799,34799
2018-10-08,3,5,9,41,16,35,8,9,31,27,88,101,219,385,1041,2799,34799
2018-10-09,3,7,9,44,16,34,8,8,31,27,92,101,225,392,1071,2861,35005
2018-10-11,3,7,9,44,16,34,8,8,31,27,92,101,225,392,1071,2861,35005
2018-10-15,5,20,20,64,30,54,15,9,31,27,83,98,214,378,1156,3019,36491
2018-10-16,5,20,20,64,30,54,15,9,31,27,83,98,214,378,1156,3019,36491
2018-10-30,5,20,20,64,30,54,15,9,31,27,83,98,214,378,1156,3019,36491
2018-10-31,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-01,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-02,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-13,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-14,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-16,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-18,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-19,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-21,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-22,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-23,4,7,11,39,22,34,6,8,20,17,48,78,189,327,1074,3027,37385
2018-11-24,4,10,14,40,26,39,14,9,19,27,62,87,222,349,1196,3246,38831
2018-11-25,4,10,14,40,26,39,14,8,19,26,62,87,222,348,1194,3231,38827
2018-11-26,4,9,14,40,26,39,14,8,19,26,61,87,221,347,1194,3231,38826
2018-12-01,4,9,14,40,26,39,14,8,19,26,61,87,221,347,1194,3231,38826
2018-12-03,4,9,14,40,26,39,14,8,19,26,61,87,221,347,1194,3231,38826
2018-12-04,6,9,22,57,30,43,16,11,27,36,71,95,251,381,1255,3437,39413
2018-12-05,6,9,22,57,30,43,16,11,27,36,71,95,251,381,1255,3437,39413
2018-12-06,6,9,22,57,30,43,16,11,27,36,71,95,251,381,1255,3437,39413
2018-12-10,6,9,22,57,30,43,16,11,27,36,71,95,251,381,1255,3437,39413
2018-12-13,6,9,22,57,30,43,16,11,27,36,71,95,251,380,1255,3437,39413
2018-12-17,6,9,22,57,30,43,16,11,27,36,71,95,251,380,1255,3437,39413
2018-12-18,6,9,22,57,30,43,16,11,27,36,71,95,251,380,1255,3437,39413
2018-12-24,6,9,22,57,30,43,16,11,27,36,71,95,251,380,1255,3437,39413
2019-01-02,6,9,22,56,30,43,16,11,27,36,71,95,251,380,1255,3434,39393
2019-01-03,6,9,22,56,30,43,16,11,27,36,71,95,251,380,1255,3434,39393
2019-01-04,6,9,22,56,30,43,16,11,27,36,71,95,251,380,1255,3434,39392
2019-01-07,6,6,10,47,24,32,11,5,17,21,48,57,119,289,1018,3266,40991
2019-01-08,6,6,10,47,23,31,11,5,18,21,49,56,123,297,1041,3324,40959
2019-01-09,6,6,10,47,23,31,11,5,18,21,49,56,123,297,1040,3324,40958
2019-01-10,6,6,10,47,23,31,11,5,18,21,49,56,123,297,1040,3324,40958
2019-01-11,6,6,10,47,23,31,11,5,18,21,49,56,123,297,1040,3324,40958
2019-01-12,78,427,322,635,254,354,104,120,153,175,219,325,464,781,1918,5842
2019-01-13,78,427,322,635,254,354,104,120,153,175,219,325,464,781,1918,5842,40899
2019-01-14,41,228,179,401,170,239,73,78,104,133,178,250,356,657,1726,5326,43189
2019-01-15,41,228,179,401,170,239,73,78,104,133,178,250,356,657,1726,5326,43189
2019-01-16,41,228,179,401,170,239,73,78,104,133,178,250,356,657,1726,5326,43189
2019-01-17,41,228,179,401,170,239,73,78,104,133,178,250,356,657,1726,5326,43189
2019-01-19,41,228,179,401,170,239,73,78,104,133,178,250,356,657,1726,5326,43189
2019-01-22,13,126,165,375,173,238,73,77,112,141,180,249,374,641,1932,5024,43093
2019-01-23,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-01-24,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-01-25,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-01-26,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-01-28,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-02-04,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-02-05,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-02-06,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-02-07,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1930,5007,44459
2019-02-11,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1929,5004,44458
2019-02-12,13,119,155,364,172,231,71,74,109,140,173,241,368,638,1929,5004,46391
2019-02-13,13,95,91,283,156,212,65,69,108,134,171,236,362,627,1914,4980,46382
2019-02-14,13,95,91,283,156,212,65,69,108,134,171,236,362,627,1914,4980,46382
2019-02-15,13,95,91,283,156,212,65,69,108,134,171,236,362,627,1914,4980,46382
2019-02-19,15,125,105,322,176,241,85,80,122,144,192,255,458,684,2162,5169,46788
2019-02-20,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-02-21,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-02-22,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-02-25,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-02-26,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-02-27,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-03-05,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-03-06,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-03-07,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46784
2019-03-08,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46783
2019-03-10,15,125,105,321,176,241,85,79,123,144,192,255,456,684,2159,5169,46783
2019-03-11,15,123,103,228,124,161,59,45,107,131,170,234,438,665,2134,5112,46753
2019-03-12,15,123,103,228,124,161,59,45,107,131,170,234,438,665,2134,5112,46753
2019-03-13,36,397,355,700,305,452,148,134,203,255,333,459,695,1159,2574,8584,57632
2019-03-14,36,397,355,699,304,451,148,134,203,255,332,459,695,1158,2573,8584,57631
2019-03-19,36,397,355,699,304,451,148,134,203,255,332,459,695,1158,2573,8584,57631
2019-03-20,36,397,355,699,304,451,148,134,203,255,332,459,695,1158,2573,8584,57631
2019-03-22,36,397,355,699,304,451,148,134,203,255,332,459,695,1158,2573,8584,57631
2019-03-25,36,397,355,699,304,451,148,134,203,255,332,459,695,1158,2573,8584,57631
2019-03-26,18,192,243,618,278,421,138,119,177,211,314,426,667,1097,2492,8350,59554
2019-03-27,18,192,243,617,277,421,138,119,177,211,314,426,667,1097,2492,8348,59554
2019-03-28,18,192,243,617,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-03-28,18,192,243,617,277,421,138,119,177,211,314,426,667,1097,2492,8348,59554
2019-03-29,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-01,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-02,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-03,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-04,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-08,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-09,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59553
2019-04-10,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59552
2019-04-12,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59552
2019-04-13,18,192,243,616,276,420,138,119,177,210,314,426,667,1097,2492,8348,59552
2019-04-15,13,138,166,418,245,383,129,115,170,204,310,420,670,1100,2510,8479,61226
2019-04-16,13,138,166,418,245,383,129,115,170,204,310,420,670,1100,2510,8479,61226
2019-04-27,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62252
2019-04-28,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62252
2019-04-29,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-03,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-04,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-05,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-06,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-07,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8653,62250
2019-05-07,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8654,62250
2019-05-08,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8653,62250
2019-05-10,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8653,62250
2019-05-13,13,121,130,397,239,389,129,125,172,214,310,427,676,1144,2570,8653,62250
2019-05-14,11,114,123,366,236,382,125,125,171,214,308,425,674,1140,2567,8646,62246
2019-05-15,17,152,141,430,257,419,131,136,178,238,327,459,742,1253,2741,9384,65907
2019-05-16,17,152,141,430,257,419,131,136,178,238,327,459,742,1253,2741,9384,65907
2019-05-17,17,152,141,430,257,419,131,136,178,238,327,459,742,1253,2741,9384,65907
