idx,company,n,percent
0,(All known 988),2242,79.87
1,(Unknown),554,19.7
2,Gmail *,296,10.5
3,Google,266,9.5
4,Red Hat,170,6.1
5,(Self),94,3.3
6,UsersNoreplyGithub *,74,2.6
7,CoreOS,56,2.0
8,IBM,46,1.6
9,Huawei,36,1.3
10,ZTE Corporation,34,1.2
11,Mirantis,33,1.2
12,Intel,28,1.0
13,Microsoft,27,1.0
14,Cisco,24,0.9
15,Net EASE 网易有态度,20,0.7
16,HP,19,0.7
17,Fujitsu,19,0.7
18,VMware,17,0.6
19,DEIS,16,0.6
20,eBay,13,0.5
25,(Not Found),11,0.4
36,Hotmail *,7,0.2
52,Yahoo *,5,0.2
81,Outlook *,3,0.1
98,Qq *,2,0.1
