idx,company,n,percent
0,(All known 109),595731,99.76
1,Google,340261,57.0
2,CoreOS,118376,19.8
3,Red Hat,48706,8.2
4,Heptio,17163,2.9
5,VMware,14962,2.5
6,Microsoft,11855,2.0
7,Rancher Labs,11005,1.8
8,storageos,3919,0.7
9,Huawei,2738,0.5
10,IBM,2227,0.4
11,(Self),1989,0.3
12,Hyper.sh,1897,0.3
13,Kelowna,1790,0.3
14,Apache,1713,0.3
15,Fujitsu,1570,0.3
16,EasyStack,1411,0.2
17,(Unknown),1401,0.2
18,ASG Consulting,1224,0.2
19,Rackspace,1165,0.2
20,Tigera,1108,0.2
36,Gmail *,247,0.0
78,(Not Found),24,0.0
81,Hotmail *,21,0.0
