idx,company,n,percent
0,(All known 71),244,92.42
1,Google,68,25.8
2,Red Hat,45,17.0
3,(Unknown),18,6.8
4,CoreOS,14,5.3
5,IBM,10,3.8
6,Gmail *,8,3.0
7,(Self),6,2.3
8,Mirantis,6,2.3
9,Huawei,5,1.9
10,eBay,5,1.9
11,Apcera,4,1.5
12,ZTE Corporation,4,1.5
13,Cisco,4,1.5
14,Fujitsu,4,1.5
15,Intel,3,1.1
16,Caicloud,3,1.1
17,Microsoft,2,0.8
18,Canonical,2,0.8
19,(Not Found),2,0.8
20,HP,2,0.8
53,Outlook *,1,0.4
