idx,company,n,percent
0,(All known 106),2413,97.73
1,Google,877,35.5
2,Red Hat,573,23.2
3,ZTE Corporation,86,3.5
4,Fujitsu,77,3.1
5,IBM,76,3.1
6,EasyStack,62,2.5
7,Huawei,57,2.3
8,(Self),50,2.0
9,Microsoft,44,1.8
10,(Unknown),41,1.7
11,Caicloud,40,1.6
12,VMware,35,1.4
13,Hyper.sh,32,1.3
14,Canonical,30,1.2
15,CoreOS,25,1.0
16,Gmail *,23,0.9
17,ASG Consulting,23,0.9
18,Mirantis,21,0.9
19,FathomDB,21,0.9
20,Kelowna,19,0.8
22,(Not Found),15,0.6
74,Qq *,2,0.1
125,Outlook *,1,0.0
131,Hotmail *,1,0.0
