idx,company,n,percent
0,(All known 97),722029,99.77
1,Google,396100,54.7
2,Red Hat,217030,30.0
3,DEIS,20409,2.8
4,Bulletproof,17595,2.4
5,Microsoft,11772,1.6
6,VMware,6621,0.9
7,Huawei,5763,0.8
8,Dell,5671,0.8
9,CoreOS,5254,0.7
10,Portworx,4460,0.6
11,JPMorgan Chase & Co.,4062,0.6
12,Weaveworks,3957,0.5
13,Hyper.sh,2786,0.4
14,Canonical,2651,0.4
15,Mirantis,2375,0.3
16,Apprenda,2241,0.3
17,(Unknown),1624,0.2
18,IBM,1509,0.2
19,Gmail *,1501,0.2
20,Rook,1158,0.2
26,(Self),707,0.1
62,(Not Found),27,0.0
111,Qq *,1,0.0
