Order,Company,Index,File/Directory,Number,Percent
All By changed lines,All,0,"",848856,100.0
All By changed lines,Google,1,"",398149,46.904
By changed lines,Google,1,/pkg,165575,41.586
By changed lines,Google,1,/pkg/ui,88543,22.239
By changed lines,Google,1,/pkg/ui/data,88542,22.238
By changed lines,Google,1,/pkg/ui/data/swagger/datafile.go,88475,22.222
By changed lines,Google,1,/third_party/swagger-ui,65964,16.568
By changed lines,Google,1,/third_party,65965,16.568
By changed lines,Google,1,/third_party/swagger-ui/swagger-ui.js,62802,15.773
By changed lines,Google,1,/Godeps,53245,13.373
By changed lines,Google,1,/Godeps/_workspace/src,52951,13.299
By changed lines,Google,1,/Godeps/_workspace/src/github.com,50340,12.644
By changed lines,Google,1,/hack,32045,8.048
By changed lines,Google,1,/hack/gen-swagger-doc,29892,7.508
By changed lines,Google,1,/hack/gen-swagger-doc/example-output,29752,7.473
All By changed lines,Kismatic,2,"",193729,22.822
By changed lines,Kismatic,2,/third_party/ui/bower_components,178860,92.325
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular-material,57337,29.596
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular-material/modules,38095,19.664
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular,26697,13.781
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular/angular.js,26309,13.58
By changed lines,Kismatic,2,/third_party/ui/bower_components/modernizr,19328,9.977
By changed lines,Kismatic,2,/third_party/ui/bower_components/lodash,19155,9.888
By changed lines,Kismatic,2,/third_party/ui/bower_components/jquery,19144,9.882
By changed lines,Kismatic,2,/third_party/ui/bower_components/lodash/dist,19077,9.847
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular-material/modules/closure,18622,9.612
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular-material/modules/js,16891,8.719
By changed lines,Kismatic,2,/third_party/ui/bower_components/modernizr/test,15514,8.008
By changed lines,Kismatic,2,/third_party/ui/bower_components/angular-material/angular-material.js,11415,5.892
All By changed lines,Red Hat,3,"",120533,14.199
By changed lines,Red Hat,3,/Godeps,75171,62.365
By changed lines,Red Hat,3,/Godeps/_workspace/src,74988,62.214
By changed lines,Red Hat,3,/Godeps/_workspace/src/google.golang.org/api,27283,22.635
By changed lines,Red Hat,3,/Godeps/_workspace/src/google.golang.org/api/compute/v1,26605,22.073
By changed lines,Red Hat,3,/pkg,26422,21.921
By changed lines,Red Hat,3,/Godeps/_workspace/src/github.com,20578,17.073
By changed lines,Red Hat,3,/Godeps/_workspace/src/golang.org/x,14310,11.872
By changed lines,Red Hat,3,/Godeps/_workspace/src/google.golang.org/api/compute/v1/compute-gen.go,13463,11.17
By changed lines,Red Hat,3,/Godeps/_workspace/src/google.golang.org/api/compute/v1/compute-api.json,13142,10.903
By changed lines,Red Hat,3,/Godeps/_workspace/src/golang.org/x/tools,12532,10.397
By changed lines,Red Hat,3,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient,11380,9.441
All By changed lines,Mesosphere,4,"",57386,6.76
By changed lines,Mesosphere,4,/Godeps,52194,90.952
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com,52175,90.919
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/mesos/mesos-go,48652,84.78
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto,44996,78.409
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto/mesos.pb.go,26522,46.217
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto/mesospb_test.go,10039,17.494
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto/log.pb.go,3600,6.273
By changed lines,Mesosphere,4,/Godeps/_workspace/src/github.com/gogo/protobuf/proto,3454,6.019
By changed lines,Mesosphere,4,/contrib/mesos,2366,4.123
All By changed lines,Microsoft,5,"",22524,2.653
By changed lines,Microsoft,5,/pkg,9513,42.235
By changed lines,Microsoft,5,/docs,7839,34.803
By changed lines,Microsoft,5,/docs/user-guide,2886,12.813
By changed lines,Microsoft,5,/pkg/kubectl,2476,10.993
By changed lines,Microsoft,5,/pkg/registry,1744,7.743
By changed lines,Microsoft,5,/contrib,1344,5.967
By changed lines,Microsoft,5,/Godeps,1328,5.896
By changed lines,Microsoft,5,/Godeps/_workspace/src/github.com,1321,5.865
By changed lines,Microsoft,5,/pkg/api,1292,5.736
By changed lines,Microsoft,5,/contrib/submit-queue,1290,5.727
By changed lines,Microsoft,5,/examples,1174,5.212
By changed lines,Microsoft,5,/pkg/util,1172,5.203
By changed lines,Microsoft,5,/pkg/registry/thirdpartyresourcedata,1165,5.172
All By changed lines,CoreOS,6,"",11973,1.41
By changed lines,CoreOS,6,/Godeps,9696,80.982
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com,9654,80.631
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/coreos,7662,63.994
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/coreos/go-oidc,6406,53.504
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/coreos/go-oidc/oidc,2546,21.265
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/appc/spec/schema,1369,11.434
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/coreos/go-oidc/key,1348,11.259
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/appc/spec/schema/types,1265,10.565
By changed lines,CoreOS,6,/Godeps/_workspace/src/github.com/coreos/pkg,1256,10.49
By changed lines,CoreOS,6,/pkg,1237,10.332
By changed lines,CoreOS,6,/pkg/kubelet,1177,9.83
All By changed lines,Huawei,7,"",10237,1.206
By changed lines,Huawei,7,/pkg,4104,40.09
By changed lines,Huawei,7,/docs,3810,37.218
By changed lines,Huawei,7,/docs/design,1870,18.267
By changed lines,Huawei,7,/docs/design/architecture.svg,1832,17.896
By changed lines,Huawei,7,/pkg/kubectl,1589,15.522
By changed lines,Huawei,7,/cluster,1587,15.503
By changed lines,Huawei,7,/docs/user-guide,1467,14.33
By changed lines,Huawei,7,/docs/user-guide/kubectl,1382,13.5
By changed lines,Huawei,7,/cluster/centos,1357,13.256
By changed lines,Huawei,7,/docs/user-guide/kubectl/kubectl,1179,11.517
By changed lines,Huawei,7,/pkg/kubectl/cmd,995,9.72
By changed lines,Huawei,7,/pkg/apis/experimental,696,6.799
By changed lines,Huawei,7,/pkg/volume,534,5.216
By changed lines,Huawei,7,/pkg/proxy,532,5.197
All By changed lines,Self,8,"",8895,1.048
By changed lines,Self,8,/pkg,5499,61.821
By changed lines,Self,8,/pkg/controller,1657,18.628
By changed lines,Self,8,/examples,1423,15.998
By changed lines,Self,8,/docs,1397,15.705
By changed lines,Self,8,/examples/elasticsearch,1348,15.155
By changed lines,Self,8,/pkg/api,1101,12.378
By changed lines,Self,8,/docs/getting-started-guides,1038,11.669
By changed lines,Self,8,/pkg/registry,945,10.624
By changed lines,Self,8,/pkg/registry/daemon,944,10.613
By changed lines,Self,8,/pkg/controller/daemon,815,9.162
By changed lines,Self,8,/pkg/registry/daemon/etcd,801,9.005
By changed lines,Self,8,/docs/getting-started-guides/aws,741,8.331
By changed lines,Self,8,/pkg/registry/daemon/etcd/etcd_test.go,725,8.151
By changed lines,Self,8,/pkg/api/validation,584,6.565
By changed lines,Self,8,/pkg/util,561,6.307
All By changed lines,eBay,9,"",5392,0.635
By changed lines,eBay,9,/Godeps,2417,44.826
By changed lines,eBay,9,/Godeps/_workspace/src/github.com/rackspace/gophercloud,2415,44.789
By changed lines,eBay,9,/pkg,2415,44.789
By changed lines,eBay,9,/Godeps/_workspace/src/github.com,2415,44.789
By changed lines,eBay,9,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack,1829,33.921
By changed lines,eBay,9,/pkg/volume,1478,27.411
By changed lines,eBay,9,/pkg/volume/cinder,1456,27.003
By changed lines,eBay,9,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack/compute/v2,1112,20.623
By changed lines,eBay,9,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack/compute/v2/extensions,876,16.246
By changed lines,eBay,9,/pkg/volume/cinder/cinder.go,562,10.423
