Order,Company,Index,File/Directory,Number,Percent
By changed lines,FathomDB,7,/docs/design/aws_under_the_hood.md,556,6.533
All By changed lines,Clarifai,8,"",7637,0.513
By changed lines,Clarifai,8,/Godeps,6682,87.495
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go,6645,87.011
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service,6083,79.652
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ec2,3284,43.001
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ec2/api.go,3272,42.844
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ecr,1606,21.029
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ecr/api.go,1433,18.764
By changed lines,Clarifai,8,/pkg,858,11.235
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/autoscaling,719,9.415
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/autoscaling/api.go,715,9.362
By changed lines,Clarifai,8,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/private,561,7.346
All By changed lines,Microsoft,9,"",6971,0.468
By changed lines,Microsoft,9,/pkg,3687,52.891
By changed lines,Microsoft,9,/Godeps,1224,17.558
By changed lines,Microsoft,9,/Godeps/_workspace/src,1218,17.472
By changed lines,Microsoft,9,/pkg/registry,847,12.15
By changed lines,Microsoft,9,/cluster,828,11.878
By changed lines,Microsoft,9,/Godeps/_workspace/src/google.golang.org/api/container/v1,720,10.329
By changed lines,Microsoft,9,/pkg/kubectl,619,8.88
By changed lines,Microsoft,9,/pkg/client/unversioned,601,8.621
By changed lines,Microsoft,9,/api/swagger-spec,512,7.345
All By changed lines,Docker,10,"",5663,0.38
By changed lines,Docker,10,/pkg,3244,57.284
By changed lines,Docker,10,/pkg/util,1951,34.452
By changed lines,Docker,10,/pkg/util/net,593,10.471
By changed lines,Docker,10,/cluster,593,10.471
By changed lines,Docker,10,/pkg/volume,567,10.012
By changed lines,Docker,10,/cluster/ubuntu,553,9.765
By changed lines,Docker,10,/cluster/ubuntu/util.sh,514,9.076
By changed lines,Docker,10,/plugin,485,8.564
By changed lines,Docker,10,/plugin/pkg,477,8.423
By changed lines,Docker,10,/plugin/pkg/scheduler,475,8.388
By changed lines,Docker,10,/test,420,7.417
By changed lines,Docker,10,/pkg/util/util_test.go,362,6.392
